Numéro de boucle;Jour;00;01;02;03;04;05;06;07;08;09;10;11;12;13;14;15;16;17;18;19;20;21;22;23;Total;Probabilité de présence d'anomalies;Jour de la semaine;Boucle de comptage;Date formatée;Vacances
0987;2024-12-30;0;0;0;0;0;0;0;1;0;0;2;2;0;0;0;0;0;0;1;1;0;0;0;0;7;;1;0987 - Tremie vers Est;2024-12-30;Vacances de Noël
0988;2024-12-30;0;0;0;1;0;3;12;35;103;34;27;23;24;30;24;29;32;44;55;26;15;8;5;2;532;;1;0988 - Kennedy vers Est;2024-12-30;Vacances de Noël
0683;2024-12-30;;;;;;;;;;;;;;;;;;;;;;;;;0;Forte;1;0683 - pont Anne de Bretagne vers Nord;2024-12-30;Vacances de Noël
0725;2024-12-30;1;1;0;1;1;1;3;5;29;10;8;12;10;14;5;14;14;42;14;17;8;2;3;1;216;;1;0725 - Pont Tabarly vers Sud;2024-12-30;Vacances de Noël
1041;2024-12-30;0;0;0;0;0;0;1;4;16;5;4;5;6;3;3;5;2;10;12;4;5;2;2;0;89;;1;1041 - Guy Mollet vers Nord;2024-12-30;Vacances de Noël
0665;2024-12-30;0;3;0;0;2;0;6;30;56;30;16;26;31;23;18;18;38;46;40;26;14;10;2;4;439;;1;0665 - Bonduelle vers Nord;2024-12-30;Vacances de Noël
0673;2024-12-30;4;2;0;0;3;0;6;27;34;20;7;12;23;15;20;12;36;54;48;34;17;6;8;5;393;;1;0673 - Pont de Pornic vers Sud;2024-12-30;Vacances de Noël
0744;2024-12-30;1;2;2;0;0;2;3;12;28;21;16;32;41;29;23;39;40;68;56;37;12;14;10;14;502;;1;0744 - Calvaire vers Est;2024-12-30;Vacances de Noël
0746;2024-12-30;0;0;0;0;0;1;2;13;42;12;7;14;10;15;10;18;13;20;18;5;3;0;0;1;204;;1;0746 - Chemin de halage Tortière vers Sud;2024-12-30;Vacances de Noël
0890;2024-12-30;5;8;2;3;8;17;18;74;161;100;50;44;63;76;55;66;103;165;150;91;61;34;21;10;1385;;1;0890 - Pont de Pirmil vers Sud;2024-12-30;Vacances de Noël
0947;2024-12-30;1;0;0;0;0;0;0;9;31;11;9;8;12;5;7;7;18;21;8;4;2;2;0;0;155;;1;0947 - Bd Malakoff vers Ouest;2024-12-30;Vacances de Noël
